"","plant","treatment","max_TEW","min_TEW","int_TEW","diff_tew","year","layer","Rain"
"1","Grassland","Added",119.514620194683,109.48541952173,119.514620194683,0,2013,"150-200",248.991
"2","Grassland","Ambient",123.231090687047,112.427306461183,123.231090687047,0,2013,"150-200",168.91
"3","Grassland","Drought",103.331941903869,100.671540616273,103.331941903869,0,2013,"150-200",97.536
"4","Shrubland","Added",74.0704397301462,70.3227407403026,70.5573787258807,3.51306100426558,2013,"150-200",248.991
"5","Shrubland","Ambient",69.2368505742851,68.1821804332459,69.2368505742851,0,2013,"150-200",168.91
"6","Shrubland","Drought",65.8886408916891,64.6773645037749,65.8197300531318,0.0689108385572865,2013,"150-200",97.536
"7","Grassland","Added",138.481443176856,136.622481005284,138.481443176856,0,2013,"100-150",248.991
"8","Grassland","Ambient",135.119694304744,133.313257998353,135.119694304744,0,2013,"100-150",168.91
"9","Grassland","Drought",119.429793807168,119.021738761871,119.429793807168,0,2013,"100-150",97.536
"10","Shrubland","Added",79.1142304490215,75.9537310848165,75.9537310848165,3.16049936420501,2013,"100-150",248.991
"11","Shrubland","Ambient",70.3245209051807,70.053033079844,70.053033079844,0.27148782533672,2013,"100-150",168.91
"12","Shrubland","Drought",78.0001707392276,76.1583822172607,76.1583822172607,1.84178852196686,2013,"100-150",97.536
"13","Grassland","Added",88.3855446087971,76.3657119701518,88.3855446087971,0,2013,"50-100",248.991
"14","Grassland","Ambient",89.4430338289684,79.3034693292319,89.4430338289684,0,2013,"50-100",168.91
"15","Grassland","Drought",85.5054808056766,74.5684213127238,85.5054808056766,0,2013,"50-100",97.536
"16","Shrubland","Added",58.3958200086953,45.5134784660035,46.9505801322447,11.4452398764506,2013,"50-100",248.991
"17","Shrubland","Ambient",44.263180351347,42.8991924112257,43.0643416496517,1.19883870169534,2013,"50-100",168.91
"18","Shrubland","Drought",51.951272075067,50.8585259749412,51.951272075067,0,2013,"50-100",97.536
"19","Grassland","Added",26.3091441849943,14.8689493146626,19.2790008914981,7.03014329349616,2013,"0-50",248.991
"20","Grassland","Ambient",25.9507868349691,15.3069995451798,19.333823733354,6.61696310161513,2013,"0-50",168.91
"21","Grassland","Drought",17.3045131448456,12.8082908952431,15.3428764814285,1.96163666341706,2013,"0-50",97.536
"22","Shrubland","Added",31.5480032600397,18.271943731748,22.5170027496507,9.03100051038895,2013,"0-50",248.991
"23","Shrubland","Ambient",27.0820115479323,15.7242617158179,19.2520593154486,7.82995223248372,2013,"0-50",168.91
"24","Shrubland","Drought",18.9993538740557,14.610213293522,17.0473948073737,1.95195906668197,2013,"0-50",97.536
"25","Grassland","Added",115.495291948475,107.453821748283,111.619276982015,3.87601496645912,2014,"150-200",199.584
"26","Grassland","Ambient",119.070636404509,111.557248571328,114.402442721812,4.66819368269707,2014,"150-200",147.574
"27","Grassland","Drought",110.78773808655,105.195505227916,105.195505227916,5.59223285863396,2014,"150-200",79.756
"28","Shrubland","Added",85.1598454647416,74.7909535204136,74.7909535204136,10.368891944328,2014,"150-200",199.584
"29","Shrubland","Ambient",81.7521898567079,73.1475138972382,73.1475138972382,8.60467595946966,2014,"150-200",147.574
"30","Shrubland","Drought",77.8228271007108,69.9491548440575,69.9491548440575,7.87367225665324,2014,"150-200",79.756
"31","Grassland","Added",116.262420794207,106.470064974214,112.68174087597,3.58067991823644,2014,"100-150",199.584
"32","Grassland","Ambient",114.800754607985,102.391057594719,111.511628162006,3.28912644597899,2014,"100-150",147.574
"33","Grassland","Drought",112.002596010472,105.261387920787,105.261387920787,6.74120808968475,2014,"100-150",79.756
"34","Shrubland","Added",79.5672100432257,67.5324632851791,67.5324632851791,12.0347467580467,2014,"100-150",199.584
"35","Shrubland","Ambient",76.7919782666751,67.4047024809971,67.4047024809971,9.387275785678,2014,"100-150",147.574
"36","Shrubland","Drought",85.0153113251816,78.301165223964,78.301165223964,6.71414610121758,2014,"100-150",79.756
"37","Grassland","Added",87.3248443995262,79.7825898411741,79.7825898411741,7.54225455835214,2014,"50-100",199.584
"38","Grassland","Ambient",86.0315242874831,80.9206405535729,82.7172529885601,3.31427129892295,2014,"50-100",147.574
"39","Grassland","Drought",87.5070019088136,76.8510242565927,76.8510242565927,10.655977652221,2014,"50-100",79.756
"40","Shrubland","Added",61.8491968193175,48.4284665146181,48.4284665146181,13.4207303046994,2014,"50-100",199.584
"41","Shrubland","Ambient",59.4976084670851,47.6706354286713,47.6706354286713,11.8269730384139,2014,"50-100",147.574
"42","Shrubland","Drought",65.0015575986709,55.7216047232064,55.7216047232064,9.27995287546449,2014,"50-100",79.756
"43","Grassland","Added",35.6309085884799,17.0862249917689,17.0862249917689,18.5446835967111,2014,"0-50",199.584
"44","Grassland","Ambient",34.204096913211,17.8001695923853,17.8001695923853,16.4039273208257,2014,"0-50",147.574
"45","Grassland","Drought",27.7190026842027,16.811553864587,16.811553864587,10.9074488196157,2014,"0-50",79.756
"46","Shrubland","Added",36.811191568017,18.9284874420091,18.9284874420091,17.8827041260079,2014,"0-50",199.584
"47","Shrubland","Ambient",31.7249099807808,17.5099077627159,17.5099077627159,14.2150022180649,2014,"0-50",147.574
"48","Shrubland","Drought",28.4386562815997,19.2281071854396,19.2281071854396,9.21054909616015,2014,"0-50",79.756
"49","Grassland","Added",106.055552117096,104.504036002525,106.055552117096,0,2015,"150-200",298.724
"50","Grassland","Ambient",110.22499057211,109.208830564373,110.22499057211,0,2015,"150-200",263.906
"51","Grassland","Drought",110.532806272465,109.651554216656,110.532806272465,0,2015,"150-200",239.268
"52","Shrubland","Added",83.0116610937975,81.6580190547036,83.0116610937975,0,2015,"150-200",298.724
"53","Shrubland","Ambient",80.7117523343003,79.5676668771288,80.7117523343003,0,2015,"150-200",263.906
"54","Shrubland","Drought",79.1275408626599,77.9354603482536,78.1640942851659,0.963446577494011,2015,"150-200",239.268
"55","Grassland","Added",104.540324485029,103.031920424417,104.540324485029,0,2015,"100-150",298.724
"56","Grassland","Ambient",101.675402670373,100.713985123544,101.675402670373,0,2015,"100-150",263.906
"57","Grassland","Drought",111.263182924975,108.89216141079,111.263182924975,0,2015,"100-150",239.268
"58","Shrubland","Added",77.0851871794154,76.3194467485685,76.9884750088748,0.0967121705405987,2015,"100-150",298.724
"59","Shrubland","Ambient",75.4881821813855,74.1147356210052,75.0765624159262,0.411619765459207,2015,"100-150",263.906
"60","Shrubland","Drought",88.5515975794559,86.0631781699687,86.0631781699687,2.48841940948724,2015,"100-150",239.268
"61","Grassland","Added",114.91892432785,103.83931413649,104.560499442907,10.3584248849436,2015,"50-100",298.724
"62","Grassland","Ambient",109.260930248406,99.9417488165509,99.9417488165509,9.31918143185491,2015,"50-100",263.906
"63","Grassland","Drought",99.1538281279702,92.9340982823062,95.1484579081923,4.00537021977794,2015,"50-100",239.268
"64","Shrubland","Added",76.2143243210157,70.3787557395006,70.3787557395006,5.83556858151513,2015,"50-100",298.724
"65","Shrubland","Ambient",73.7109181764943,67.851020200858,67.851020200858,5.85989797563634,2015,"50-100",263.906
"66","Shrubland","Drought",72.2543820928144,69.4023898279119,69.4023898279119,2.85199226490241,2015,"50-100",239.268
"67","Grassland","Added",50.3711198301945,41.9575396116232,41.9575396116232,8.41358021857132,2015,"0-50",298.724
"68","Grassland","Ambient",49.623265320312,41.334089283479,41.334089283479,8.28917603683301,2015,"0-50",263.906
"69","Grassland","Drought",39.32216097904,33.466359949468,33.466359949468,5.85580102957197,2015,"0-50",239.268
"70","Shrubland","Added",51.8622464093036,42.3543418533956,42.3543418533956,9.50790455590794,2015,"0-50",298.724
"71","Shrubland","Ambient",51.6742102320752,41.1211441795331,41.1211441795331,10.5530660525422,2015,"0-50",263.906
"72","Shrubland","Drought",48.9870756249057,39.8866861755675,39.8866861755675,9.10038944933813,2015,"0-50",239.268
