"","jar","jar_weight","plot","plant","depth","soil_jar","density_40","density_2H","clay_p","silt_p","sand_p"
"179",179,195.53,"G16R","G",175,240.27,1.0142,1.011,24.5864997764861,7.15243629861442,68.2610639248994
"180",180,213.73,"G17R","G",175,255.15,1.013,1.0085,20.521487204249,10.8643167551906,68.6141960405604
"181",181,175.4,"G18R","G",175,220.65,1.0136,1.0093,20.5524861878455,9.50276243093916,69.9447513812153
"182",182,212.18,"G19L","G",175,257.05,1.0117,1.0083,18.4978827724537,7.57744595498121,73.9246712725651
"183",183,215.1,"G20L","G",175,254.92,1.0128,1.0088,22.099447513812,10.0452034153692,67.8553490708189
"184",184,214.22,"G22L","G",175,256.18,1.0042,1.001,2.38322211630098,7.62631077216418,89.9904671115348
"185",185,202,"G23L","G",175,247.36,1.007,1.0085,18.7389770723103,-3.30687830687843,84.5679012345681
"186",186,175.51,"G24R","G",175,220.94,1.0115,1.007,15.408320493066,9.9053488884001,74.6863306185339
"187",187,201.75,"G01R","G",200,247.06,1.01,1.0062,13.6835135731626,8.38666960935782,77.9298168174796
"188",188,214.79,"G02L","G",200,260.35,1.009,1.005,10.9745390693588,8.77963125548727,80.2458296751539
"189",189,202,"G03","G",200,247.15,1.008,1.005,11.0741971207085,6.6445182724255,82.281284606866
"190",190,175.51,"G04L","G",200,219.78,1.0085,1.005,11.2943302462162,7.90603117235161,80.7996385814322
"191",191,210.69,"G05R","G",200,256.04,1.009,1.006,13.2304299889746,6.61521499448708,80.1543550165383
"192",192,194.96,"G06R","G",200,240.11,1.0086,1.005,11.0741971207085,7.97342192691041,80.9523809523811
"193",193,211.19,"G07L","G",200,256.19,1.0092,1.006,13.3333333333333,7.11111111111131,79.5555555555553
"194",194,194.88,"G08L","G",200,239.82,1.0086,1.006,13.351134846462,5.78549176680003,80.863373386738
"195",195,201.96,"G09L","G",200,247.12,1.0099,1.006,13.2860938883968,8.63596102745796,78.0779450841452
"196",196,210.34,"G10L","G",200,255.21,1.0101,1.0063,14.0405616224648,8.46891018497888,77.4905281925563
"197",197,195.53,"G11R","G",200,240.36,1.01,1.007,15.6145438322549,6.69194735668104,77.693508811064
"198",198,213.73,"G12R","G",200,255.71,1.0095,1.0072,17.1510242972846,5.47879942829911,77.3701762744163
"199",199,175.4,"G13L","G",200,220.3,1.012,1.0085,18.9309576837415,7.79510022271728,73.2739420935412
"200",200,201.96,"G14R","G",200,246.75,1.0133,1.0099,22.1031480241126,7.59098012949334,70.3058718463941
"201",201,215.1,"G15R","G",200,255.29,1.0138,1.0095,23.6377208260763,10.6991789002239,65.6631002736998
"202",202,201.75,"G16R","G",200,246.75,1.0133,1.009,19.9999999999998,9.55555555555599,70.4444444444442
"203",203,214.79,"G17R","G",200,258.33,1.014,1.01,22.9673863114378,9.18695452457511,67.8456591639871
"204",204,202.06,"G18R","G",200,246.96,1.0152,1.0109,24.2761692650332,9.5768374164815,66.1469933184853
"205",205,211.38,"G19L","G",200,258.92,1.011,1.0075,15.7761884728651,7.36222128733663,76.8615902397983
"206",206,174.44,"G20L","G",200,219.62,1.01,1.007,15.4935812306328,6.64010624170012,77.8663125276671
"207",207,194.96,"G21L","G",200,239.26,1.0112,1.0075,16.9300225733636,8.35214446952605,74.7178329571104
"208",208,211.19,"G22L","G",200,256.62,1.0038,1.0012,2.64142637024013,5.72309046885304,91.6354831609068
"209",209,194.88,"G23L","G",200,239.84,1.0052,1.003,6.67259786476844,4.89323843416415,88.4341637010674
"210",210,201.96,"G24R","G",200,246.61,1.0095,1.0055,12.3180291153417,8.95856662933931,78.723404255319
"211",1,212.18,"CS25LRX","CS",0,257.54,1.007,1.0035,7.71604938271618,7.71604938271568,84.5679012345681
"212",2,210.02,"CS26LAX","CS",0,259.5,1.0065,1.0035,7.07356507679883,6.06305578011296,86.8633791430882
"213",3,194.88,"CS27RXX","CS",0,240.24,1.005,1.0036,7.93650793650804,3.08641975308607,88.9770723104059
"214",4,201.75,"CS28RRX","CS",0,246.4,1.0062,1.004,8.95856662933931,4.92721164613657,86.1142217245241
"215",5,214.22,"CS29RXX","CS",0,256.1,1.0065,1.004,9.55109837631328,5.96943648519567,84.4794651384911
"216",6,210.34,"CS30CAX","CS",0,260.03,1.0064,1.0039,7.84866170255588,5.03119339907416,87.12014489837
"217",7,202.06,"CS31RAX","CS",0,246.65,1.009,1.005,11.2132765193987,8.97062121551918,79.8161022650821
"218",8,175.51,"CS32RXX","CS",0,220.47,1.012,1.004,8.89679715302492,17.7935943060498,73.3096085409252
"219",9,213.73,"CS33CRX","CS",0,254.93,1.0075,1.0045,10.9223300970872,7.28155339805853,81.7961165048542
"220",10,174.44,"CS34RXX","CS",0,218.5,1.008,1.005,11.3481615978209,6.80889695869295,81.8429414434861
"221",11,194.96,"CS35LRX","CS",0,242.03,1.008,1.0055,11.6847248778416,5.31123858083693,83.0040365413214
"222",12,212.18,"CS36LAX","CS",0,260.31,1.009,1.005,10.3885310617077,8.31082484936631,81.300644088926
"223",13,210.02,"CS37RXX","CS",0,260.86,1.008,1.005,9.8347757671123,5.90086546026773,84.26435877262
"224",14,194.88,"CS38LAX","CS",0,239.57,1.008,1.0048,10.7406578652941,7.16043857686304,82.0989035578429
"225",15,201.75,"CS39LXX","CS",0,247.59,1.008,1.005,10.9075043630015,6.5445026178013,82.5479930191972
"226",16,214.22,"CS40LAX","CS",0,255.64,1.0075,1.0045,10.8643167551906,7.2428778367941,81.8928054080153
"227",17,210.34,"CS41RAX","CS",0,262.76,1.009,1.0052,9.91987790919514,7.24914154902672,82.8309805417781
"228",18,202.06,"CS42LXX","CS",0,247.52,1.0075,1.0041,9.0189177298724,7.47910250769923,83.5019797624284
"229",19,175.51,"CS43LRX","CS",0,220.92,1.0088,1.005,11.010790574763,8.36820083682014,80.6210085884168
"230",20,213.73,"CS44RAX","CS",0,255.82,1.007,1.004,9.50344499881208,7.1275837491088,83.3689712520791
"231",21,174.44,"CS45LRX","CS",0,219.77,1.0088,1.0051,11.250827266711,8.16236487977016,80.5868078535188
"232",22,195,"CS46RXX","CS",0,239.8,1.0089,1.0049,10.9374999999998,8.92857142857143,80.1339285714288
"233",23,201.96,"CS47RXX","CS",0,249.74,1.0087,1.0049,10.2553369610714,7.95311845960659,81.791544579322
"234",24,214.79,"CS48LXX","CS",0,260.61,1.0091,1.0051,11.1305106940203,8.72981230903537,80.1396769969443
"235",25,211.38,"CS25LRX","CS",15,259.26,1.007,1.004,8.35421888053468,6.26566416040079,85.3801169590645
"236",26,210.69,"CS26LAX","CS",15,255.77,1.0068,1.004,8.87311446317658,6.21118012422341,84.9157054126
"237",27,175.4,"CS27RXX","CS",15,220.86,1.0073,1.0042,9.23889133303999,6.81918169819644,83.9419269687636
"238",28,194.94,"CS28RRX","CS",15,239.61,1.0068,1.0042,9.40228341168565,5.8204611596148,84.7772554286995
"239",29,211.19,"CS29RXX","CS",15,256.14,1.0065,1.004,8.8987764182425,5.56173526140144,85.5394883203561
"240",30,215.1,"CS30CAX","CS",15,255.07,1.0075,1.004,10.0075056292219,8.75656742556933,81.2359269452087
"241",31,195,"CS31RAX","CS",15,240.2,1.009,1.0055,12.1681415929205,7.74336283185805,80.0884955752215
"242",32,201.96,"CS32RXX","CS",15,246.74,1.009,1.0055,12.2822688700314,7.81598928092862,79.90174184904
"243",33,214.79,"CS33CRX","CS",15,254.97,1.008,1.005,12.4440019910401,7.46640119462447,80.0895968143355
"244",34,202,"CS34RXX","CS",15,250.69,1.01,1.006,12.3228589032656,8.21523926884372,79.4619018278907
"245",35,195.53,"CS35LRX","CS",15,244.21,1.0079,1.0058,11.9145439605588,4.31388660640918,83.771569433032
"246",36,211.38,"CS36LAX","CS",15,261.82,1.0092,1.0052,10.3092783505156,7.93021411578113,81.7605075337032
"247",37,210.69,"CS37RXX","CS",15,256.77,1.0097,1.0058,12.5868055555556,8.46354166666669,78.9496527777777
"248",38,175.4,"CS38LAX","CS",15,220.06,1.0087,1.0049,10.9717868338556,8.50873264666373,80.5194805194807
"249",39,194.94,"CS39LXX","CS",15,239.87,1.008,1.005,11.1284219897616,6.67705319385735,82.194524816381
"250",40,211.19,"CS40LAX","CS",15,256.54,1.0085,1.005,11.0253583241453,7.717750826902,81.2568908489527
"251",41,215.1,"CS41RAX","CS",15,255.98,1.0085,1.0052,12.7201565557732,8.07240704500945,79.2074363992173
"252",42,195,"CS42LXX","CS",15,241.09,1.008,1.0046,9.98047298763275,7.37687133868533,82.6426556736819
"253",43,201.96,"CS43LRX","CS",15,250.1,1.0079,1.0049,10.1786456169504,6.23182384711283,83.5895305359368
"254",44,214.79,"CS44RAX","CS",15,264.37,1.009,1.0048,9.68132311415876,8.47115772488904,81.8475191609522
"255",45,202,"CS45LRX","CS",15,249.39,1.009,1.0052,10.972779067314,8.0185693184212,81.0086516142648
"256",46,194.96,"CS46RXX","CS",15,241.78,1.0083,1.0059,12.6014523707818,5.12601452370773,82.2725331055105
"257",47,212.18,"CS47RXX","CS",15,257.39,1.0084,1.0051,11.2806901128071,7.2992700729924,81.4200398142005
"258",48,210.02,"CS48LXX","CS",15,260.09,1.0082,1.005,9.98601957259816,6.39105252646314,83.6229279009387
"259",49,214.22,"CS25LRX","CS",30,255.85,1.007,1.004,9.6084554407879,7.20634158059066,83.1852029786214
"260",50,210.34,"CS26LAX","CS",30,259.69,1.0081,1.005,10.1317122593716,6.28166160081074,83.5866261398176
"261",51,202.06,"CS27RXX","CS",30,247.18,1.008,1.0045,9.97340425531903,7.75709219858169,82.2695035460993
"262",52,175.51,"CS28RRX","CS",30,220.27,1.0075,1.0045,10.0536193029489,6.70241286863297,83.2439678284181
"263",53,213.73,"CS29RXX","CS",30,255.67,1.0075,1.0042,10.0143061516452,7.86838340486428,82.1173104434906
"264",54,174.44,"CS30CAX","CS",30,219.16,1.009,1.0055,12.2987477638642,7.8264758497313,79.8747763864045
"265",55,194.96,"CS31RAX","CS",30,239.53,1.0087,1.0052,11.6670406102762,7.85281579537769,80.4801435943461
"266",56,212.18,"CS32RXX","CS",30,256.72,1.01,1.0059,13.2465199820386,9.20520880107766,77.5482712168837
"267",57,210.02,"CS33CRX","CS",30,259.77,1.0084,1.0052,10.4522613065329,6.43216080401985,83.1155778894473
"268",58,194.88,"CS34RXX","CS",30,243.71,1.009,1.0055,11.2635674790089,7.16772475936891,81.5687077616222
"269",59,201.75,"CS35LRX","CS",30,246.94,1.009,1.005,11.0643947776054,8.85151582208454,80.08408940031
"270",60,214.22,"CS36LAX","CS",30,257.1,1.009,1.0052,12.126865671642,8.861940298507,79.011194029851
"271",61,210.34,"CS37RXX","CS",30,259.4,1.009,1.006,12.2299225438239,6.11496127191172,81.6551161842644
"272",62,202.06,"CS38LAX","CS",30,245.8,1.0085,1.0045,10.2880658436213,9.14494741655236,80.5669867398264
"273",63,175.51,"CS39LXX","CS",30,221.64,1.0089,1.005,10.8389334489484,8.45436809017996,80.7066984608716
"274",64,213.73,"CS40LAX","CS",30,255.97,1.009,1.0057,13.4943181818183,7.81249999999966,78.6931818181821
"275",65,174.44,"CS41RAX","CS",30,218.4,1.0088,1.0051,11.601455868972,8.41674249317519,79.9818016378528
"276",66,194.96,"CS42LXX","CS",30,242.75,1.0093,1.0049,10.2531910441513,9.20694706005478,80.5398618957939
"277",67,212.18,"CS43LRX","CS",30,258.91,1.008,1.0045,9.6297881446607,7.48983522362521,82.8803766317141
"278",68,210.02,"CS44RAX","CS",30,260.31,1.009,1.0041,8.1527142573076,9.74348777092842,82.103797971764
"279",69,194.88,"CS45LRX","CS",30,239.17,1.0085,1.005,11.2892300745087,7.90246105215638,80.8083088733349
"280",70,195.53,"CS46RXX","CS",30,243.21,1.0091,1.006,12.5838926174497,6.50167785234921,80.9144295302011
"281",71,211.38,"CS47RXX","CS",30,258.87,1.0087,1.005,10.528532322594,7.7911139187198,81.6803537586862
"282",72,210.69,"CS48LXX","CS",30,256.62,1.0091,1.0055,11.97474417592,7.83801436969311,80.1872414543869
"283",73,211.19,"CS25LRX","CS",45,256.44,1.008,1.005,11.0497237569058,6.62983425414389,82.3204419889503
"284",74,215.1,"CS26LAX","CS",45,254.97,1.0086,1.0052,13.0423877602209,8.52771507399009,78.429897165789
"285",75,195,"CS27RXX","CS",45,239.64,1.008,1.0045,10.0806451612902,7.84050179211483,82.078853046595
"286",76,201.96,"CS28RRX","CS",45,246.75,1.008,1.0048,10.7166778298726,7.14445188658203,82.1388702835454
"287",77,214.79,"CS29RXX","CS",45,258.93,1.008,1.0048,10.8744902582689,7.24966017217963,81.8758495695514
"288",78,202,"CS30CAX","CS",45,246.61,1.0079,1.004,8.96659941717104,8.7424344317418,82.2909661510872
"289",79,195.53,"CS31RAX","CS",45,240.31,1.0092,1.006,13.3988387673068,7.14604734256384,79.4551138901293
"290",80,211.38,"CS32RXX","CS",45,259.37,1.0087,1.006,12.5026047093145,5.62617211919134,81.8712231714942
"291",81,210.69,"CS33CRX","CS",45,255.38,1.009,1.0055,12.3070038039831,7.83172969344336,79.8612665025735
"292",82,175.4,"CS34RXX","CS",45,221.62,1.0085,1.0052,11.2505408913892,7.13976633491965,81.6096927736911
"293",83,194.94,"CS35LRX","CS",45,239.76,1.0092,1.0055,12.2713074520305,8.25524319500231,79.4734493529672
"294",84,211.19,"CS36LAX","CS",45,257.43,1.009,1.0052,11.2456747404846,8.21799307958435,80.536332179931
"295",85,215.1,"CS37RXX","CS",45,257.68,1.01,1.0062,14.5608266791921,8.92437764208554,76.5147956787224
"296",86,195,"CS38LAX","CS",45,240.58,1.0087,1.005,10.969723562966,8.11759543659507,80.912681000439
"297",87,201.96,"CS39LXX","CS",45,246.45,1.0083,1.005,11.2384805574284,7.41739716790309,81.3441222746685
"298",88,214.79,"CS40LAX","CS",45,261.24,1.0085,1.005,10.7642626480084,7.53498385360616,81.7007534983855
"299",89,202,"CS41RAX","CS",45,248.74,1.009,1.0052,11.1253744116391,8.13008130081258,80.7445442875484
"300",90,195.53,"CS42LXX","CS",45,242.23,1.009,1.0051,10.9207708779446,8.35117773019227,80.7280513918632
"301",91,211.38,"CS43LRX","CS",45,264.27,1.009,1.0051,9.64265456608075,7.37379466817885,82.9835507657404
"302",92,210.69,"CS44RAX","CS",45,257.03,1.0083,1.0049,10.574018126888,7.33707380233075,82.0889080707812
"303",93,175.4,"CS45LRX","CS",45,221.43,1.0091,1.0051,11.0797306104717,8.68998479252663,80.2302845970017
"304",94,201.75,"CS46RXX","CS",45,249.13,1.009,1.006,12.6635711270578,6.33178556352869,81.0046433094135
"305",95,214.22,"CS47RXX","CS",45,257.17,1.009,1.0056,13.0384167636788,7.91618160651885,79.0454016298023
"306",96,210.34,"CS48LXX","CS",45,261.01,1.009,1.0056,11.0519044799685,6.71008486283768,82.2380106571938
"307",97,213.73,"CS25LRX","CS",100,254.86,1.0113,1.008,19.4505227327985,8.02334062727955,72.526136639922
"308",98,174.44,"CS26LAX","CS",100,218.98,1.011,1.0075,16.8387965873374,7.85810507409034,75.3030983385723
"309",99,194.96,"CS27RXX","CS",100,239.3,1.0095,1.0062,13.9828597203428,7.44248985115038,78.5746504285069
"310",100,212.18,"CS28RRX","CS",100,256.62,1.01,1.0063,14.1764176417641,8.32583258325841,77.4977497749775
"311",101,210.02,"CS29RXX","CS",100,259.38,1.0093,1.0068,13.7763371150728,5.06482982171833,81.1588330632089
"312",102,194.88,"CS30CAX","CS",100,239.19,1.007,1.005,11.2841345068831,4.51365380275334,84.2022116903636
"313",103,201.75,"CS31RAX","CS",100,246.51,1.009,1.007,15.6389633601428,4.46827524575514,79.8927613941021
"314",104,214.22,"CS32RXX","CS",100,255.55,1.009,1.006,14.5172997822405,7.25864989111999,78.2240503266395
"315",105,210.34,"CS33CRX","CS",100,260.04,1.0088,1.0059,11.8712273641851,5.83501006036197,82.2937625754529
"316",106,202.06,"CS34RXX","CS",100,247.6,1.0092,1.006,13.1752305665349,7.02678963548549,79.7979797979796
"317",107,175.51,"CS35LRX","CS",100,224.41,1.01,1.0065,13.2924335378322,7.15746421267906,79.5501022494887
"318",108,213.73,"CS36LAX","CS",100,255.73,1.0097,1.0055,13.0952380952382,9.99999999999995,76.9047619047618
"319",109,174.44,"CS37RRX","CS",100,216.36,1.013,1.0093,22.185114503817,8.82633587786215,68.9885496183209
"320",110,194.96,"CS38LAX","CS",100,239.6,1.009,1.0062,13.8888888888889,6.27240143369156,79.8387096774196
"321",111,212.18,"CS39LXX","CS",100,257.12,1.009,1.0055,12.2385402759236,7.7881619937691,79.9732977303073
"322",112,210.02,"CS40LAX","CS",100,259.85,1.012,1.007,14.047762392133,10.0341159943811,75.9181216134858
"323",113,194.88,"CS41RAX","CS",100,239.28,1.0085,1.005,11.261261261261,7.88288288288302,80.855855855856
"324",114,201.75,"CS42LXX","CS",100,246.32,1.0081,1.005,11.2183082791113,6.95535113304937,81.8263405878394
"325",115,214.22,"CS43LRX","CS",100,257.93,1.0075,1.0048,10.981468771448,6.17707618393994,82.8414550446121
"326",116,210.34,"CS44RAX","CS",100,261.41,1.008,1.005,9.79048364989209,5.8742901899356,84.3352261601723
"327",117,194.94,"CS46RXX","CS",100,240.24,1.01,1.0069,15.23178807947,6.843267108168,77.924944812362
"328",118,211.19,"CS47RXX","CS",100,256.85,1.009,1.0059,12.9215943933421,6.78931230836592,80.289093298292
"329",119,215.1,"CS48LXX","CS",100,256.19,1.0093,1.006,14.6020929666586,8.0311511316624,77.366755901679
"330",120,214.79,"CS25LRX","CS",200,258.84,1.0085,1.0051,11.5777525539162,7.71850170261032,80.7037457434734
"331",121,202,"CS26LAX","CS",200,247.03,1.0083,1.005,11.1037086386851,7.32844770153249,81.5678436597824
"332",122,195.53,"CS27RXX","CS",200,240.16,1.0084,1.0051,11.4272910598255,7.39412950929836,81.1785794308762
"333",123,211.38,"CS28RRX","CS",200,259.28,1.0095,1.0052,10.8559498956161,8.97703549060537,80.1670146137786
"334",124,210.69,"CS29RXX","CS",200,255.62,1.009,1.0055,12.2412641887382,7.78989539283293,79.9688404184289
"335",125,175.4,"CS30CAX","CS",200,220.15,1.0075,1.006,13.4078212290503,3.35195530726269,83.240223463687
"336",126,194.94,"CS31RAX","CS",200,240.11,1.01,1.0065,14.3900819127738,7.74850564533996,77.8614124418862
"337",127,211.19,"CS32RXX","CS",200,256.38,1.0091,1.0065,14.3837132108873,5.7534852843553,79.8628015047574
"338",128,215.1,"CS33CRX","CS",200,255.07,1.01,1.006,15.0112584438329,10.0075056292219,74.9812359269452
"339",129,195,"CS34RXX","CS",200,244.78,1.011,1.0063,12.6556850140618,9.44154278826824,77.9027721976699
"340",130,201.96,"CS35LRX","CS",200,253.38,1.012,1.007,13.6133800077789,9.72384286269957,76.6627771295216
"341",131,214.79,"CS36LAX","CS",200,259.21,1.01,1.006,13.5074290859973,9.00495272399822,77.4876181900045
"342",132,202,"CS37RRX","CS",200,247.37,1.005,1.0029,6.39188891337867,4.62860921313641,88.9795018734849
"343",133,195.53,"CS38LAX","CS",200,237.76,1.018,1.013,30.7838029836607,11.8399242244852,57.3762727918541
"344",134,211.38,"CS39LXX","CS",200,258.35,1.009,1.006,12.7741111347669,6.38705556738319,80.8388332978499
"345",135,210.69,"CS40LAX","CS",200,257.88,1.011,1.0075,15.8931977113797,7.41682559864343,76.6899766899769
"346",136,175.4,"CS41RAX","CS",200,221.44,1.0091,1.0059,12.8149435273675,6.95047784535207,80.2345786272804
"347",137,194.94,"CS42LXX","CS",200,242.11,1.0097,1.0053,11.2359550561799,9.32796268814916,79.4360822556709
"348",138,211.19,"CS43LRX","CS",200,258.19,1.0097,1.0052,11.0638297872342,9.57446808510628,79.3617021276595
"349",139,215.1,"CS44RAX","CS",200,255.33,1.0093,1.0052,12.9256773552078,10.1913994531444,76.8829231916478
"350",140,202.06,"CS45LRX","CS",200,246.83,1.0039,1.0026,5.80746035291475,2.90373017645762,91.2888094706276
"351",141,175.51,"CS46RXX","CS",200,223.23,1.006,1.0036,7.54400670578384,5.02933780385574,87.4266554903604
"352",142,213.73,"CS47RXX","CS",200,256.87,1.0095,1.0061,14.1400092721372,7.88131664348648,77.9786740843763
